Approx net worth,Base case net worth,Difference,APPL price,SMA,MACD,EMA_12,EMA_26
102905945.37000011,102905160.0,785.3700001090765,166.14,166.19,0.18524295249198985,166.06355337906285,165.87831042657086
102904780.56000012,102903930.0,850.5600001215935,165.82,166.171,0.15209249272402303,166.0260836284378,165.87399113571377
102902699.36000009,102901730.0,969.3600000888109,165.57,166.10600000000002,0.10444364256139238,165.95591691637043,165.85147327380903
102898116.11000009,102896880.0,1236.110000088811,165.19,165.96900000000002,0.0356082910942348,165.83808354462113,165.8024752535269
102894519.47000007,102893070.0,1449.4700000733137,165.05,165.85399999999998,-0.029896423486519552,165.71683992237172,165.74673634585824
102886390.81000008,102884450.0,1940.81000007689,164.91,165.70399999999998,-0.09204517224938513,165.5927107035453,165.68475587579468
102885853.8700001,102883880.0,1973.8700000941753,164.93,165.60399999999998,-0.1380928224510285,165.49075521069219,165.6288480331432
102891603.38000008,102889990.0,1613.3800000846386,165.21,165.51299999999998,-0.15026015155547157,165.44756210135492,165.5978222529104
102893737.18000007,102892260.0,1477.1800000667572,165.13,165.41699999999997,-0.16446235924064467,165.39870639345415,165.5631687526948
102894084.61000006,102892630.0,1454.6100000590086,165.33,165.32800000000003,-0.15776081415933163,165.38813617907658,165.5458969932359
102893953.29000007,102892490.0,1463.2900000661612,165.16,165.23,-0.16427372540152874,165.35303830537248,165.517312030774
102891807.56000006,102890200.0,1607.5600000619888,165.21,165.169,-0.16351576440436588,165.33103241223824,165.4945481766426
102887464.52000006,102885560.0,1904.5200000554323,164.98,165.11,-0.17940607115124863,165.27702742574004,165.4564334968913
102887511.27000004,102885610.0,1901.2700000405312,165.08,165.099,-0.18183402007088034,165.24671551408773,165.4285495341586
102891153.87000005,102889510.0,1643.8700000494719,165.31,165.12500000000003,-0.1633164983404356,165.25645158884345,165.41976808718388
102887795.07000007,102885910.0,1885.0700000673532,165.0,165.134,-0.17167665654775988,165.21699749825214,165.3886741547999
102882314.91000009,102880030.0,2284.9100000858307,165.1,165.151,-0.1682930009375525,165.19899788313643,165.36729088407398
102889409.13000007,102887650.0,1759.1300000697374,165.35,165.16500000000002,-0.143781099807768,165.22222897803852,165.36601007784628
102886851.63000005,102884900.0,1951.6300000548363,165.24,165.176,-0.13171301658860557,165.2249629814172,165.3566759980058
102883423.62000005,102881210.0,2213.620000049472,165.07,165.15,-0.13431821615662898,165.20112252273765,165.33544073889428
102879099.14000006,102876550.0,2549.1400000602007,164.84,165.118,-0.1531762133548682,165.14556521154725,165.29874142490212
102876976.31000008,102874260.0,2716.31000007689,164.78,165.075,-0.17099172439787935,165.08932440977074,165.26031613416862
102875031.71000007,102872160.0,2871.7100000679493,164.97,165.074,-0.16784442707376002,165.07096680826754,165.2388112353413
102877186.96000008,102874490.0,2696.9600000828505,165.02,165.06799999999998,-0.15947723484464404,165.06312576084176,165.2226029956864
102881030.80000007,102878650.0,2380.8000000715256,165.04,165.041,-0.1495088963762896,165.05956795148148,165.20907684785777
102878252.57000007,102875640.0,2612.5700000673532,164.96,165.03699999999998,-0.14637690587969132,165.04424980509972,165.19062671097942
102871927.65000007,102868780.0,3147.650000065565,164.78,165.00499999999997,-0.15661392864299728,165.00359598893053,165.16020991757352
102863343.9300001,102859460.0,3883.9300000965595,164.68,164.938,-0.17082682193455412,164.9538119906335,165.12463881256807
102867953.13000007,102864470.0,3483.1300000697374,164.94,164.90799999999996,-0.15927479449135262,164.9516870689976,165.11096186348894
102869432.72000006,102866080.0,3352.7200000584126,164.94,164.895,-0.1484089633664496,164.94988905838258,165.09829802174903
102869653.04000007,102866320.0,3333.040000066161,164.93,164.904,-0.13900229837267375,164.9468292032468,165.08583150161948
102870395.81000006,102867130.0,3265.810000061989,164.88,164.91400000000002,-0.13403693635905256,164.93654778736268,165.07058472372174
102877531.45000008,102874920.0,2611.450000077486,165.23,164.94,-0.10069898109074416,164.98169428161458,165.08239326270532
102879974.50000009,102877590.0,2384.500000089407,165.11,164.949,-0.08300458330398897,165.00143362290464,165.08443820620863
102887780.06000009,102886130.0,1650.0600000917912,165.18,164.96300000000002,-0.06261148437357633,165.02890537322702,165.0915168576006
102890555.5800001,102889170.0,1385.58000010252,165.09,164.97600000000003,-0.0530999512016308,165.0383045465767,165.09140449777834
102889780.3800001,102888320.0,1460.3800000995398,164.98,164.99600000000004,-0.05381769642360723,165.02933461633413,165.08315231275773
102891629.7100001,102890350.0,1279.7100000977516,164.8,165.008,-0.06812569970094273,164.99405236766734,165.06217806736828
102899437.51000008,102898930.0,507.5100000798702,165.16,165.03,-0.04984136381051485,165.0195827726416,165.0694241364521
102898837.57000008,102898270.0,567.5700000822544,165.25,165.06100000000004,-0.02776854949397034,165.05503157685058,165.08280012634455
102900835.17000009,102900470.0,365.1700000911951,165.32,165.1,-0.004574537713267546,165.0957959496428,165.10037048735606
102897225.31000008,102896490.0,735.31000007689,165.24,165.13600000000002,0.007267773940725419,165.1179811881593,165.11071341421857
102894389.53000009,102893360.0,1029.530000090599,165.1,165.123,0.005295023539247268,165.1152148515194,165.10991982798015
102897185.9800001,102896450.0,735.9800000935793,164.91,165.103,-0.011467615932446051,165.08364333590103,165.09511095183348
102894672.86000009,102893670.0,1002.8600000888109,164.78,165.063,-0.03484042331416504,165.03692897653164,165.0717693998458
102899603.2400001,102899130.0,473.2400000989437,164.98,165.052,-0.03680099407404214,165.02817067244985,165.0649716665239
102907008.66000009,102907340.0,-331.3399999141693,165.28,165.082,-0.013986045306722872,165.0669136459191,165.08089969122582
102905567.06000009,102905740.0,-172.93999990820885,165.15,165.11700000000002,-0.006322070684973369,165.07969616193154,165.0860182326165
102901364.06000012,102901070.0,294.0600001215935,165.04,165.105,-0.009020414549013367,165.0735890600959,165.08260947464493
102903737.4200001,102903710.0,27.420000106096268,165.19,165.099,0.0009341070908419624,165.09149843546578,165.09056432837494
102899543.76000011,102899040.0,503.76000010967255,165.07,165.074,-0.0008500609359316513,165.08819098385567,165.0890410447916
102899588.61000012,102899090.0,498.61000011861324,165.0,165.04999999999998,-0.007822271658511681,165.07462314018557,165.08244541184408
102903423.49000013,102903370.0,53.49000012874603,165.16,165.05599999999998,-0.000432154456433409,165.08775804169548,165.0881901961519
102905508.84000012,102905700.0,-191.15999987721443,165.09,165.074,-0.00022129733849851618,165.08810295835772,165.08832425569622
102903765.54000011,102903750.0,15.54000011086464,165.05,165.101,-0.0032444571767200614,165.08224096476422,165.08548542194094
102903640.52000012,102903610.0,30.520000115036964,165.2,165.123,0.006389756137224367,165.10035773941587,165.09396798327865
