Random net worth,Base case net worth,Difference
102930382.93999995,102930530.0,-147.06000004708767
102933133.54999997,102933300.0,-166.45000003278255
102938095.30999997,102938320.0,-224.69000002741814
102939964.33999997,102940220.0,-255.66000002622604
102942272.05999997,102942560.0,-287.94000002741814
102937131.02999996,102937340.0,-208.9700000435114
102936896.69999999,102937110.0,-213.30000001192093
102935503.19999999,102935710.0,-206.80000001192093
102935353.90999998,102935560.0,-206.09000001847744
102926742.40999997,102926820.0,-77.5900000333786
102930625.77999996,102930760.0,-134.2200000435114
102924781.16999996,102924820.0,-38.830000042915344
102921702.11999997,102921690.0,12.11999997496605
102921521.36999996,102921510.0,11.369999960064888
102921706.42999996,102921700.0,6.429999962449074
102921483.23999998,102921470.0,13.23999997973442
102918684.52999999,102918610.0,74.52999998629093
102922136.66999999,102922100.0,36.66999998688698
102925234.74,102925250.0,-15.260000005364418
102924458.12999998,102924470.0,-11.870000019669533
102926177.75999998,102926220.0,-42.240000024437904
102926745.49999997,102926780.0,-34.50000002980232
102923778.45999995,102923750.0,28.459999948740005
102931687.00999996,102931830.0,-142.99000003933907
102929966.50999996,102930080.0,-113.49000003933907
102935818.96999997,102936020.0,-201.03000003099442
102941001.93999995,102941300.0,-298.06000004708767
102939664.21999995,102939940.0,-275.7800000458956
102940717.00999995,102941000.0,-282.9900000542402
102938388.10999995,102938620.0,-231.89000004529953
102941910.40999995,102942220.0,-309.59000004827976
102940460.93999994,102940740.0,-279.06000006198883
102938133.85999994,102938370.0,-236.1400000602007
102936008.02999996,102936210.0,-201.9700000435114
102936876.20999995,102937080.0,-203.79000005126
102936593.31999995,102936770.0,-176.68000005185604
102941811.37999997,102942100.0,-288.6200000345707
102942847.91999994,102943160.0,-312.0800000578165
102940825.01999995,102941100.0,-274.9800000488758
102941193.75999995,102941460.0,-266.2400000542402
102941429.99999993,102941700.0,-270.0000000745058
102939661.04999992,102939900.0,-238.95000007748604
102937387.81999993,102937610.0,-222.1800000667572
102941017.00999993,102941290.0,-272.9900000691414
102940808.2699999,102941070.0,-261.7300000935793
102939666.6199999,102939910.0,-243.38000009953976
102939976.8299999,102940220.0,-243.17000010609627
102939958.0299999,102940210.0,-251.97000010311604
102942525.96999988,102942800.0,-274.0300001204014
102928947.80999988,102929020.0,-72.1900001168251
102925540.68999988,102925550.0,-9.310000121593475
102928094.8899999,102928160.0,-65.11000010371208
102927774.28999989,102927840.0,-65.71000011265278
102927108.08999988,102927160.0,-51.91000011563301
102929162.0799999,102929230.0,-67.92000010609627
102930789.10999991,102930890.0,-100.89000009000301
