Random net worth,Base case net worth,Difference
102891764.53000002,102891450.0,314.53000001609325
102887938.19000001,102887580.0,358.190000012517
102884545.85,102884150.0,395.84999999403954
102877568.59,102877100.0,468.5900000035763
102878704.14000002,102878250.0,454.1400000154972
102882872.47000001,102882460.0,412.47000001370907
102882545.40000002,102882120.0,425.4000000208616
102887804.83000001,102887430.0,374.830000013113
102890073.29000004,102889720.0,353.29000003635883
102888631.52000004,102888270.0,361.52000004053116
102887080.55000003,102886700.0,380.5500000268221
102886214.90000002,102885830.0,384.9000000208616
102887962.53000003,102887590.0,372.5300000309944
102891729.60000004,102891380.0,349.600000038743
102896315.39000006,102896000.0,315.3900000602007
102893456.37000005,102893120.0,336.37000004947186
102889624.80000006,102889270.0,354.8000000566244
102887616.00000004,102887250.0,366.0000000447035
102886548.71000005,102886170.0,378.71000005304813
102881723.52000004,102881330.0,393.52000004053116
102884753.01000004,102884370.0,383.01000003516674
102883216.06000002,102882830.0,386.06000001728535
102880296.52000001,102879900.0,396.52000001072884
102879872.16000003,102879470.0,402.16000002622604
102878599.71000004,102878190.0,409.710000038147
102876271.08000004,102875840.0,431.08000004291534
102880544.61000003,102880140.0,404.6100000292063
102875781.61000001,102875350.0,431.6100000143051
102877782.51,102877360.0,422.5100000053644
102875872.37,102875440.0,432.3700000047684
102876874.52000001,102876450.0,424.52000001072884
102880948.66000001,102880540.0,408.6600000113249
102888064.14000003,102887700.0,364.14000003039837
102884231.62000003,102883850.0,381.6200000345707
102886877.10000002,102886500.0,377.10000002384186
102887915.34000005,102887540.0,375.34000004827976
102894149.04000004,102893810.0,339.04000003635883
102903311.94000004,102903030.0,281.9400000423193
102908985.29000004,102908740.0,245.29000003635883
102903468.00000004,102903180.0,288.0000000447035
102904922.83000004,102904640.0,282.83000004291534
102911204.47000004,102910950.0,254.4700000435114
102911249.37000003,102911000.0,249.3700000345707
102918919.26000004,102918700.0,219.26000003516674
102916787.33000003,102916560.0,227.33000002801418
102912653.38000005,102912410.0,243.38000005483627
102908583.10000005,102908320.0,263.1000000536442
102912741.07000005,102912490.0,251.0700000524521
102912731.59000005,102912480.0,251.59000004827976
102919337.53000003,102919100.0,237.53000003099442
102924028.81000003,102923800.0,228.8100000321865
102926624.70000003,102926400.0,224.70000003278255
102922135.31000003,102921900.0,235.3100000321865
102923205.24000004,102922980.0,225.24000003933907
102924657.68000004,102924440.0,217.68000003695488
102925064.10000004,102924850.0,214.10000003874302
102922559.44000004,102922340.0,219.4400000423193
102920619.01000004,102920400.0,219.01000003516674
102921859.49000004,102921640.0,219.49000003933907
102922741.54,102922530.0,211.5400000065565
102919443.33000001,102919220.0,223.33000001311302
102919859.58000001,102919640.0,219.58000001311302
102922226.19000001,102922020.0,206.19000001251698
102921070.17,102920860.0,210.17000000178814
102917916.48999998,102917690.0,226.48999997973442
102917839.58999999,102917620.0,219.58999998867512
102913235.55999999,102912990.0,245.55999998748302
102912345.72,102912090.0,255.7199999988079
102922746.69999999,102922550.0,196.69999998807907
102922692.87999998,102922500.0,192.87999998033047
102921063.99999997,102920860.0,203.99999997019768
102918816.04999995,102918600.0,216.04999995231628
102918852.61999995,102918630.0,222.61999994516373
102915676.72999996,102915440.0,236.72999995946884
102915196.05999996,102914960.0,236.0599999576807
102919598.38999997,102919390.0,208.38999997079372
102919243.95999998,102919030.0,213.95999997854233
102916643.02999999,102916420.0,223.02999998629093
102914442.8,102914210.0,232.79999999701977
102907206.63,102906930.0,276.6299999952316
102908192.10000001,102907930.0,262.1000000089407
102902551.44,102902250.0,301.4399999976158
102907888.98,102907620.0,268.9800000041723
102907082.35000001,102906810.0,272.3500000089407
102906327.99000002,102906050.0,277.9900000244379
102902027.96000001,102901730.0,297.96000000834465
102901445.74000001,102901140.0,305.74000000953674
102906168.10000001,102905890.0,278.1000000089407
102912087.08000001,102911840.0,247.08000001311302
102914202.67000002,102913960.0,242.6700000166893
102916021.74000002,102915790.0,231.7400000244379
102917044.65000002,102916810.0,234.65000002086163
102922512.80000001,102922310.0,202.80000001192093
102926577.72,102926400.0,177.7199999988079
102923696.16,102923500.0,196.15999999642372
102923581.11999999,102923390.0,191.1199999898672
102921466.86,102921260.0,206.85999999940395
102923384.14999999,102923180.0,204.1499999910593
102922355.58999999,102922150.0,205.58999998867512
102922135.11999999,102921930.0,205.1199999898672
102916108.20999998,102915870.0,238.20999997854233
102914988.42999999,102914750.0,238.4299999922514
102916025.50999999,102915790.0,235.50999999046326
102916848.83,102916610.0,238.82999999821186
102918553.55,102918330.0,223.54999999701977
102922708.36,102922510.0,198.35999999940395
102922578.51999998,102922380.0,198.5199999809265
102922579.71999998,102922380.0,199.71999998390675
102925801.02999999,102925620.0,181.02999998629093
102929425.28999996,102929260.0,165.28999996185303
102931851.38999997,102931700.0,151.38999997079372
102933213.56999996,102933070.0,143.56999996304512
102931520.04999995,102931370.0,150.04999995231628
102931370.76999995,102931220.0,150.7699999511242
102932028.07999994,102931880.0,148.07999993860722
102932383.24999994,102932240.0,143.24999994039536
102928808.12999992,102928650.0,158.12999992072582
102934688.08999991,102934560.0,128.0899999141693
102931602.45999992,102931460.0,142.45999991893768
102930676.46999992,102930530.0,146.4699999243021
102933434.21999995,102933300.0,134.21999995410442
102938429.91999997,102938320.0,109.91999997198582
102940319.43999997,102940220.0,99.43999996781349
102942645.45999996,102942560.0,85.45999996364117
102937445.94999997,102937340.0,105.94999997317791
102937214.74999997,102937110.0,104.74999997019768
102935823.68999998,102935710.0,113.68999998271465
102935676.64,102935560.0,116.64000000059605
102926986.80999999,102926820.0,166.80999998748302
102930902.75999999,102930760.0,142.75999999046326
102924998.87999998,102924820.0,178.87999998033047
102921893.34999998,102921690.0,203.34999997913837
102921720.99999999,102921510.0,210.99999998509884
102921913.64999999,102921700.0,213.6499999910593
102921683.24999999,102921470.0,213.24999998509884
102918842.70999996,102918610.0,232.70999996364117
102922314.61999995,102922100.0,214.61999994516373
102925443.62999995,102925250.0,193.62999995052814
102924665.43999994,102924470.0,195.43999993801117
102926405.60999995,102926220.0,185.60999995470047
102926964.97999994,102926780.0,184.97999994456768
102923957.02999994,102923750.0,207.02999994158745
102931975.72999994,102931830.0,145.72999994456768
102930241.03999995,102930080.0,161.03999994695187
102936141.61999997,102936020.0,121.61999997496605
102941383.67999998,102941300.0,83.67999997735023
102940034.01999998,102939940.0,94.01999998092651
102941091.15999998,102941000.0,91.15999998152256
